customer_id,signup_date,region,segment,acquisition_channel,age,income
C00001,2024-12-30,Northeast,Consumer,Referral,38,28800
C00002,2024-08-04,Midwest,Consumer,Social,39,
C00003,2025-03-29,West,Consumer,Social,40,58300
C00004,2025-09-06,Midwest,Consumer,Search,38,62400
C00005,2025-01-07,Northeast,Consumer,Search,53,47000
C00006,2025-08-08,South,Corporate,Email,49,110200
C00007,2023-06-21,Northeast,Consumer,Email,29,82600
C00008,2023-02-04,Northeast,Consumer,Email,62,48500
C00009,2025-07-09,West,Small Business,Referral,53,50100
C00010,2025-09-21,South,Consumer,Search,38,47400
C00011,2023-11-21,Northeast,Corporate,Referral,35,98200
C00012,2023-08-15,West,Consumer,Search,28,54300
C00013,2024-07-31,Midwest,Consumer,Referral,39,53300
C00014,2023-05-30,West,Corporate,Referral,43,94200
C00015,2024-09-16,Midwest,Small Business,Search,54,
C00016,2025-06-06,Northeast,Consumer,Search,59,82600
C00017,2025-08-06,West,Corporate,Referral,18,105600
C00018,2024-09-02,West,Corporate,Search,30,78500
C00019,2023-07-05,Northeast,Corporate,Search,38,118200
C00020,2024-02-16,West,Consumer,Email,43,45100
C00021,2024-03-10,Midwest,Consumer,Email,44,66300
C00022,2025-10-12,Midwest,Consumer,Social,59,35500
C00023,2024-06-09,South,Small Business,Referral,37,58600
C00024,2023-02-18,Northeast,Consumer,Social,54,106800
C00025,2024-05-17,West,Corporate,Email,22,147800
C00026,2025-09-30,West,Consumer,Referral,27,22000
C00027,2023-09-06,West,Consumer,Email,37,107000
C00028,2025-07-29,Midwest,Consumer,Search,50,46000
C00029,2023-09-23,South,Small Business,Social,62,51900
C00030,2024-08-04,Northeast,Corporate,Email,31,50500
C00031,2023-10-14,Midwest,Consumer,Search,42,26000
C00032,2024-05-13,Midwest,Corporate,Referral,24,109100
C00033,2025-09-26,Northeast,Corporate,Social,53,140600
C00034,2024-07-12,Northeast,Corporate,Email,31,99800
C00035,2024-11-05,West,Consumer,Email,61,73500
C00036,2025-03-24,Northeast,Consumer,Email,40,61100
C00037,2023-05-29,Northeast,Consumer,Social,49,22000
C00038,2023-02-24,West,Consumer,Referral,27,80500
C00039,2024-08-02,West,Consumer,Search,54,82300
C00040,2023-02-15,West,Small Business,Referral,47,63200
C00041,2025-03-24,Midwest,Corporate,Search,38,85800
C00042,2025-10-07,South,Small Business,Social,36,54100
C00043,2025-07-12,West,Consumer,Search,54,50700
C00044,2025-09-12,South,Consumer,Social,18,81300
C00045,2023-01-06,Midwest,Consumer,Search,23,72500
C00046,2024-05-07,South,Consumer,Referral,37,40400
C00047,2025-04-10,West,Consumer,Referral,39,
C00048,2025-07-21,West,Corporate,Search,27,111300
