order_id,product_id,quantity,unit_price,unit_cost
O000001,P0060,1,533.82,344.5
O000002,P0200,2,75.77,35.11
O000002,P0102,3,56.31,18.55
O000003,P0185,1,103.4,39.34
O000003,P0013,2,193.68,142.15
O000004,P0187,1,56.37,24.62
O000005,P0215,2,71.89,34.32
O000005,P0257,1,77.31,37.39
O000005,P0296,3,49.09,25.73
O000006,P0063,1,239.72,148.19
O000006,P0047,3,245.96,161.87
O000006,P0122,1,17.58,8.25
O000007,P0180,3,73.67,31.93
O000007,P0119,3,23.55,11.22
O000007,P0109,1,23.4,14.65
O000008,P0043,2,104.4,77.51
O000008,P0192,1,78.16,33.9
O000008,P0221,1,123.3,45.82
O000009,P0036,1,264.72,164.16
O000009,P0011,2,92.22,67.9
O000010,P0035,2,207.5,155.56
O000011,P0127,1,70.83,28.5
O000011,P0237,1,55.37,29.15
O000012,P0120,1,46.73,19.66
O000012,P0129,1,19.58,8.76
O000013,P0295,1,120.62,68.75
O000013,P0044,1,275.1,199.81
O000013,P0248,3,103.38,62.41
O000014,P0005,2,290.43,180.19
O000015,P0099,1,410.84,258.19
O000016,P0278,2,83.6,48.93
O000017,P0079,3,295.76,200.4
O000017,P0130,1,20.42,10
O000017,P0196,3,71.78,34.88
O000018,P0295,1,117.27,68.75
O000018,P0122,1,17.15,8.25
O000018,P0172,1,49.59,23.96
O000018,P0033,2,270.62,177.46
O000019,P0035,4,204.84,155.56
O000019,P0213,4,62.69,23.34
O000020,P0184,1,79.06,34.74
O000021,P0155,3,74.78,30.14
O000022,P0259,1,97.74,54.92
O000023,P0010,2,113.39,80.84
O000023,P0273,1,51.45,31.65
O000023,P0298,2,80.13,46.03
O000024,P0208,3,71.38,38.44
O000024,P0174,1,50.79,19.82
O000025,P0185,4,105.77,39.34
O000026,P0026,1,303.77,232.05
O000026,P0108,2,43.58,20.7
O000026,P0188,1,97.01,41.67
O000027,P0172,1,50.44,23.96
O000028,P0295,5,112.17,68.75
O000028,P0091,1,497.4,289
O000029,P0126,3,70.71,33.66
O000029,P0035,2,209.69,155.56
O000030,P0183,2,89.89,47.89
O000030,P0180,2,72.08,31.93
O000031,P0273,1,53.22,31.65
O000031,P0150,3,46.98,23.77
O000032,P0234,2,39.91,14.91
O000032,P0256,3,152.01,74.69
O000032,P0150,1,49.41,23.77
O000032,P0126,1,68.87,33.66
O000033,P0235,1,105.36,47.66
O000033,P0233,1,61.61,32.03
O000034,P0297,2,139.02,74.56
O000034,P0082,3,224.55,142.77
O000034,P0291,4,42.11,26.48
O000034,P0098,1,435.4,267.66
O000034,P0086,2,287.43,183.1
O000034,P0070,3,387.43,241.57
O000035,P0136,3,16.56,7.1
O000035,P0137,1,42.37,20.58
O000035,P0218,1,12.62,4.91
O000036,P0041,1,181.33,122.21
O000036,P0129,1,18.31,8.76
O000037,P0277,3,109.89,53.14
O000038,P0089,2,381.64,213.13
O000038,P0162,3,44.99,15.85
O000039,P0147,2,21.09,10.39
O000040,P0172,1,52.23,23.96
O000041,P0179,3,78.39,35.85
O000042,P0085,3,497.76,309.87
O000042,P0197,1,72.65,29.79
O000042,P0099,1,443.73,258.19
O000043,P0279,1,89.11,52.52
O000043,P0151,1,40.79,19.16
O000044,P0199,3,78.3,29.04
O000044,P0005,1,290.35,180.19
O000044,P0239,1,95.66,48.52
O000045,P0167,1,46.27,21.55
O000045,P0232,2,72.57,34.28
O000045,P0206,1,65.76,30.07
O000045,P0114,4,45.55,22.62
O000046,P0177,2,39.93,17.03
O000046,P0205,1,109.48,51.3
O000047,P0278,1,80.27,48.93
O000047,P0021,1,133.77,96.75
O000048,P0092,1,217.94,143.47
O000049,P0015,3,246.64,160.99
O000049,P0285,1,73.32,40.73
O000050,P0268,1,68.29,38.96
O000051,P0064,1,410.82,232.51
O000051,P0230,1,34.56,13.32
O000051,P0140,5,47.8,20.88
O000051,P0211,1,51.46,21.06
O000052,P0048,1,155.43,96.22
O000052,P0185,2,105.16,39.34
O000052,P0243,1,99.18,50.45
O000052,P0186,1,66.76,28.6
O000053,P0095,3,130.73,78.71
O000053,P0100,2,298.83,175.41
O000054,P0095,3,123.27,78.71
O000054,P0058,1,439.76,288.71
O000054,P0297,3,132.27,74.56
O000054,P0129,2,18.27,8.76
O000055,P0033,4,274.31,177.46
O000055,P0159,4,36.14,18
O000055,P0117,2,36.29,21.42
O000056,P0109,6,23.38,14.65
O000057,P0129,1,18.48,8.76
O000057,P0203,2,52.25,26.78
O000057,P0006,1,5.12,3.95
O000057,P0238,3,32.31,17.86
O000057,P0266,2,110.68,56.79
O000058,P0039,2,251.73,171.27
O000058,P0022,1,222.87,146.59
O000058,P0024,1,291.97,216.05
O000059,P0012,1,183.1,144.29
O000059,P0158,3,29.28,11.41
O000060,P0106,2,27.9,12.14
O000060,P0243,2,105.27,50.45
O000060,P0191,1,46.16,22.56
O000060,P0235,2,99.43,47.66
O000060,P0122,4,17.08,8.25
O000061,P0255,4,115.14,64.14
O000062,P0166,2,19.74,9.8
O000062,P0157,3,64.4,25.69
O000062,P0250,2,95.07,60.2
O000062,P0101,2,45.5,23.09
O000063,P0104,1,27.81,15.83
O000063,P0090,2,378.12,185.86
O000064,P0287,4,95.93,59.64
O000064,P0177,1,37.03,17.03
O000065,P0097,1,410.18,305.28
O000065,P0154,2,36.86,17.74
O000066,P0002,1,322.35,190.62
O000067,P0072,1,241.84,144.19
O000067,P0055,2,339.89,236.11
O000067,P0043,1,115,77.51
O000067,P0067,2,266.86,155.88
O000067,P0065,1,215.55,113.93
O000068,P0284,1,94.82,47.22
O000068,P0225,3,111.74,48.28
O000069,P0112,3,16.57,7.79
O000070,P0215,1,72.64,34.32
O000071,P0117,3,39.88,21.42
O000071,P0212,4,133.97,47.26
O000071,P0256,1,134.42,74.69
O000071,P0176,2,46.03,17.91
O000072,P0103,2,38.71,19.74
O000073,P0163,2,72.49,29.64
O000073,P0067,1,268.67,155.88
O000074,P0112,1,15.7,7.79
O000075,P0138,4,23.33,12.24
O000075,P0163,2,72.26,29.64
O000075,P0209,3,32.41,13.48
O000075,P0193,4,107.1,53.82
O000076,P0072,5,239.36,144.19
O000076,P0136,1,14.8,7.1
O000077,P0110,1,38.96,19.01
O000077,P0054,1,286.06,219.23
O000077,P0248,3,110.67,62.41
O000078,P0178,3,77.82,37.46
O000079,P0012,1,189.36,144.29
O000080,P0157,2,61.43,25.69
O000080,P0180,1,69.67,31.93
O000080,P0192,1,74.51,33.9
O000081,P0127,2,71.26,28.5
O000081,P0110,3,38.49,19.01
O000081,P0067,1,276.1,155.88
O000081,P0222,1,45.27,18.04
O000081,P0083,1,220.62,130.51
O000082,P0164,5,48.63,23.04
O000082,P0075,2,513.02,309.23
O000083,P0238,1,30.5,17.86
O000083,P0056,1,117.63,74.46
O000084,P0076,4,235.53,141.63
O000085,P0219,1,90.78,41.64
O000085,P0181,2,59.57,25.41
O000085,P0151,1,41.41,19.16
O000086,P0082,2,245.47,142.77
O000086,P0100,1,310.25,175.41
O000087,P0300,1,101.79,67.65
O000087,P0274,2,90.57,52.26
O000088,P0016,3,145.61,102.3
O000088,P0027,5,320.51,225.04
O000088,P0226,1,74.99,33.84
O000088,P0068,1,372.22,210.52
O000089,P0233,1,65.13,32.03
O000089,P0138,2,21.88,12.24
O000089,P0222,1,45.1,18.04
O000089,P0023,1,203.95,140.1
O000090,P0126,4,68.37,33.66
O000091,P0265,2,115.96,67.58
O000092,P0190,5,94.78,39.84
O000093,P0123,2,37.44,19.4
O000093,P0269,2,67.8,41.45
O000093,P0265,3,117.48,67.58
O000094,P0106,2,28.24,12.14
O000094,P0162,2,47.55,15.85
O000095,P0011,3,96.86,67.9
O000095,P0184,2,78.78,34.74
O000096,P0284,2,87.82,47.22
O000097,P0035,2,195.82,155.56
O000097,P0272,2,111.69,68.23
O000097,P0199,2,80.57,29.04
O000097,P0038,2,182.09,131.74
O000097,P0121,5,40.86,20.08
O000097,P0044,1,286.99,199.81
O000098,P0010,3,118.43,80.84
O000098,P0162,1,44.24,15.85
O000098,P0300,2,101.53,67.65
O000099,P0112,3,15.1,7.79
O000099,P0080,3,329.57,200.57
O000099,P0243,1,97.41,50.45
