order_id,customer_id,order_date,status,discount_pct,shipping_cost
O000001,C00870,2024-08-09,Completed,0,11
O000002,C02290,2024-10-26,Completed,0.15,3.71
O000003,C01503,2024-03-29,Completed,0.15,9.01
O000004,C01672,2025-09-11,Completed,0,6.13
O000005,C04084,2024-11-11,Completed,0.2,11.78
O000006,C01376,2025-05-11,Completed,0.2,11.41
O000007,C01810,2024-05-22,Completed,0.2,7.15
O000008,C04580,2025-02-06,Completed,0.1,12.06
O000009,C04284,2024-11-20,Completed,0.2,12.09
O000010,C04154,2025-05-08,Completed,0.1,6.13
O000011,C00808,2024-06-20,Cancelled,0.2,13.32
O000012,C01660,2025-04-08,Completed,0.1,3.59
O000013,C01874,2024-08-19,Completed,0.05,12.03
O000014,C02333,2024-09-28,Completed,0.05,4.76
O000015,C02072,2024-01-10,Completed,0,11.63
O000016,C03745,2025-10-08,Completed,0.2,10.62
O000017,C01194,2025-09-23,Completed,0,19.17
O000018,C01926,2024-10-08,Completed,0.05,7.32
O000019,C01679,2024-03-29,Completed,0.2,8.2
O000020,C03724,2025-04-09,Completed,0,3.3
O000021,C02137,2024-12-10,Completed,0.15,12.19
O000022,C01564,2024-06-30,Returned,0,17.67
O000023,C01889,2024-02-07,Cancelled,0,15.5
O000024,C03273,2025-01-04,Cancelled,0,9.39
O000025,C01981,2025-12-21,Completed,0.3,6.41
O000026,C00855,2024-01-25,Cancelled,0.1,10.88
O000027,C02402,2025-05-29,Cancelled,0,17.43
O000028,C03124,2025-01-16,Completed,0.15,14.75
O000029,C03279,2025-11-16,Completed,0,13.47
O000030,C03575,2025-02-26,Completed,0.3,12.7
O000031,C02501,2024-05-09,Completed,0.2,9.12
O000032,C01771,2025-07-09,Completed,0,14.49
O000033,C03175,2024-09-13,Returned,0,11.42
O000034,C01533,2024-07-15,Returned,0.3,9.15
O000035,C01518,2025-07-02,Returned,0.2,7.7
O000036,C02364,2024-11-21,Cancelled,0.15,14.01
O000037,C00158,2025-07-28,Completed,0.3,12.49
O000038,C00212,2025-04-16,Completed,0.3,14.27
O000039,C03313,2025-11-07,Completed,0,18.1
O000040,C04110,2025-09-14,Completed,0.05,14.62
O000041,C01144,2025-12-11,Cancelled,0.2,10.85
O000042,C01385,2025-01-15,Completed,0.05,12.69
O000043,C03695,2024-12-20,Completed,0.1,13.13
O000044,C02325,2025-04-16,Completed,0.1,10.39
O000045,C04006,2025-04-21,Completed,0.2,7.1
O000046,C02428,2024-12-30,Completed,0.2,13.92
O000047,C03286,2025-07-23,Completed,0,15.21
O000048,C03960,2025-07-11,Completed,0.15,11.52
O000049,C02559,2025-05-14,Completed,0.1,17.45
O000050,C02398,2025-04-05,Completed,0.15,19.38
O000051,C02648,2024-09-29,Completed,0.15,19.13
O000052,C03303,2025-03-25,Completed,0.1,13.96
O000053,C02326,2024-12-14,Completed,0.2,16.05
O000054,C03880,2025-01-27,Completed,0.2,7.4
O000055,C03973,2025-12-12,Completed,0.2,6.33
O000056,C03276,2024-04-08,Completed,0.15,13.73
O000057,C02260,2025-11-22,Completed,0.15,13.93
O000058,C00808,2024-07-24,Completed,0.05,6.06
O000059,C03519,2024-02-14,Returned,0.2,11.01
O000060,C03289,2024-05-14,Completed,0.2,10.35
O000061,C02008,2024-03-14,Completed,0.15,11.36
O000062,C01646,2024-04-14,Completed,0.15,11.55
O000063,C04087,2024-03-05,Completed,0,17.29
O000064,C04613,2024-09-23,Cancelled,0.1,4.16
O000065,C03517,2024-07-30,Completed,0,11.86
O000066,C04536,2025-03-08,Completed,0.3,2.47
O000067,C02961,2024-04-17,Returned,0.2,7.98
O000068,C01772,2024-07-06,Completed,0,9.55
O000069,C00089,2025-10-10,Completed,0.05,17.3
O000070,C00787,2025-09-01,Returned,0.2,6.77
O000071,C01911,2024-04-24,Completed,0,8.15
O000072,C04527,2025-04-24,Completed,0,8.89
O000073,C01974,2024-02-26,Completed,0.1,17.79
O000074,C00688,2024-12-26,Completed,0.05,8.3
O000075,C03655,2025-09-02,Completed,0.2,8.32
O000076,C03961,2024-02-21,Completed,0.15,12.88
O000077,C04053,2025-09-03,Completed,0.2,12.54
O000078,C01482,2025-11-07,Completed,0.05,13.4
O000079,C02142,2025-09-16,Completed,0,20.78
O000080,C02581,2024-01-05,Completed,0.3,14.2
O000081,C03052,2025-02-03,Cancelled,0,20.45
O000082,C02663,2024-06-17,Completed,0.05,13.11
O000083,C04482,2025-10-06,Completed,0.2,4.44
O000084,C02076,2024-06-27,Completed,0,11.35
O000085,C02105,2024-02-27,Completed,0.3,12.32
O000086,C00076,2025-06-07,Completed,0.3,13.94
O000087,C03277,2025-08-15,Completed,0,6.12
O000088,C02029,2025-08-10,Completed,0.1,6.73
O000089,C01474,2025-06-04,Completed,0.05,10.35
O000090,C00563,2025-03-09,Completed,0.15,9.2
O000091,C00833,2025-09-01,Completed,0.2,11.1
O000092,C01414,2024-08-20,Completed,0.2,9.37
O000093,C04575,2025-05-23,Completed,0.3,13.95
O000094,C01548,2025-05-10,Returned,0.2,8.93
O000095,C04157,2024-08-22,Completed,0,9.71
O000096,C03680,2024-01-26,Completed,0.05,10.82
O000097,C00163,2024-04-23,Completed,0.1,10.49
O000098,C02471,2024-04-25,Returned,0.2,8.53
O000099,C04390,2024-02-03,Completed,0.15,9.31
O000100,C00968,2024-04-10,Completed,0.2,10
O000101,C04570,2025-08-18,Completed,0.1,7.43
O000102,C02440,2024-06-21,Completed,0,18.24
O000103,C02294,2024-03-02,Cancelled,0,11.76
O000104,C03894,2025-10-06,Completed,0.2,11.07
O000105,C04327,2024-04-04,Completed,0.3,11.33
O000106,C00222,2024-09-10,Completed,0.3,16.17
O000107,C04049,2024-01-13,Completed,0.15,0.3
O000108,C03902,2025-11-24,Returned,0.05,1.04
O000109,C04090,2025-11-12,Completed,0.1,4.23
O000110,C00747,2025-01-22,Returned,0.2,8.66
O000111,C02426,2025-03-27,Completed,0,4.03
O000112,C04280,2025-07-31,Completed,0.15,10.88
O000113,C04583,2024-04-26,Returned,0.1,11.8
O000114,C02491,2025-07-23,Completed,0.15,12
O000115,C04233,2025-11-22,Completed,0.2,10.18
O000116,C01975,2024-10-19,Completed,0.15,9.58
O000117,C02249,2024-09-21,Completed,0.2,14.04
O000118,C03099,2024-05-17,Completed,0.1,7.6
