product_id,product_name,category,brand
P0001,Brightline Electronics 01,Electronics,Brightline
P0002,Everly Electronics 02,Electronics,Everly
P0003,Orion Electronics 03,Electronics,Orion
P0004,Cedar Electronics 04,Electronics,Cedar
P0005,Summit Electronics 05,Electronics,Summit
P0006,Cedar Electronics 06,Electronics,Cedar
P0007,Summit Electronics 07,Electronics,Summit
P0008,Summit Electronics 08,Electronics,Summit
P0009,Apex Electronics 09,Electronics,Apex
P0010,Apex Electronics 10,Electronics,Apex
P0011,Vantage Electronics 11,Electronics,Vantage
P0012,Cedar Electronics 12,Electronics,Cedar
P0013,Northstar Electronics 13,Electronics,Northstar
P0014,Vantage Electronics 14,Electronics,Vantage
P0015,Vantage Electronics 15,Electronics,Vantage
P0016,Northstar Electronics 16,Electronics,Northstar
P0017,Summit Electronics 17,Electronics,Summit
P0018,Cedar Electronics 18,Electronics,Cedar
P0019,Apex Electronics 19,Electronics,Apex
P0020,Vantage Electronics 20,Electronics,Vantage
P0021,Summit Electronics 21,Electronics,Summit
P0022,Cedar Electronics 22,Electronics,Cedar
P0023,Cedar Electronics 23,Electronics,Cedar
P0024,Orion Electronics 24,Electronics,Orion
P0025,Brightline Electronics 25,Electronics,Brightline
P0026,Northstar Electronics 26,Electronics,Northstar
P0027,Vantage Electronics 27,Electronics,Vantage
P0028,Summit Electronics 28,Electronics,Summit
P0029,Apex Electronics 29,Electronics,Apex
P0030,Vantage Electronics 30,Electronics,Vantage
P0031,Vantage Electronics 31,Electronics,Vantage
P0032,Everly Electronics 32,Electronics,Everly
P0033,Cedar Electronics 33,Electronics,Cedar
P0034,Summit Electronics 34,Electronics,Summit
P0035,Everly Electronics 35,Electronics,Everly
P0036,Apex Electronics 36,Electronics,Apex
P0037,Everly Electronics 37,Electronics,Everly
P0038,Everly Electronics 38,Electronics,Everly
P0039,Brightline Electronics 39,Electronics,Brightline
P0040,Orion Electronics 40,Electronics,Orion
P0041,Orion Electronics 41,Electronics,Orion
P0042,Vantage Electronics 42,Electronics,Vantage
P0043,Brightline Electronics 43,Electronics,Brightline
P0044,Summit Electronics 44,Electronics,Summit
P0045,Cedar Electronics 45,Electronics,Cedar
P0046,Apex Electronics 46,Electronics,Apex
P0047,Brightline Electronics 47,Electronics,Brightline
P0048,Everly Electronics 48,Electronics,Everly
P0049,Vantage Electronics 49,Electronics,Vantage
P0050,Summit Electronics 50,Electronics,Summit
P0051,Everly Electronics 51,Electronics,Everly
P0052,Vantage Electronics 52,Electronics,Vantage
P0053,Apex Electronics 53,Electronics,Apex
P0054,Apex Electronics 54,Electronics,Apex
P0055,Brightline Electronics 55,Electronics,Brightline
P0056,Summit Furniture 01,Furniture,Summit
P0057,Northstar Furniture 02,Furniture,Northstar
P0058,Northstar Furniture 03,Furniture,Northstar
P0059,Cedar Furniture 04,Furniture,Cedar
P0060,Everly Furniture 05,Furniture,Everly
P0061,Apex Furniture 06,Furniture,Apex
P0062,Brightline Furniture 07,Furniture,Brightline
P0063,Cedar Furniture 08,Furniture,Cedar
P0064,Orion Furniture 09,Furniture,Orion
P0065,Northstar Furniture 10,Furniture,Northstar
P0066,Apex Furniture 11,Furniture,Apex
P0067,Brightline Furniture 12,Furniture,Brightline
P0068,Apex Furniture 13,Furniture,Apex
P0069,Summit Furniture 14,Furniture,Summit
P0070,Cedar Furniture 15,Furniture,Cedar
P0071,Apex Furniture 16,Furniture,Apex
P0072,Cedar Furniture 17,Furniture,Cedar
P0073,Summit Furniture 18,Furniture,Summit
P0074,Apex Furniture 19,Furniture,Apex
P0075,Northstar Furniture 20,Furniture,Northstar
P0076,Cedar Furniture 21,Furniture,Cedar
P0077,Brightline Furniture 22,Furniture,Brightline
P0078,Everly Furniture 23,Furniture,Everly
P0079,Northstar Furniture 24,Furniture,Northstar
P0080,Cedar Furniture 25,Furniture,Cedar
P0081,Apex Furniture 26,Furniture,Apex
P0082,Summit Furniture 27,Furniture,Summit
P0083,Northstar Furniture 28,Furniture,Northstar
P0084,Vantage Furniture 29,Furniture,Vantage
P0085,Orion Furniture 30,Furniture,Orion
P0086,Vantage Furniture 31,Furniture,Vantage
P0087,Brightline Furniture 32,Furniture,Brightline
P0088,Vantage Furniture 33,Furniture,Vantage
P0089,Summit Furniture 34,Furniture,Summit
P0090,Northstar Furniture 35,Furniture,Northstar
P0091,Cedar Furniture 36,Furniture,Cedar
P0092,Apex Furniture 37,Furniture,Apex
P0093,Brightline Furniture 38,Furniture,Brightline
P0094,Orion Furniture 39,Furniture,Orion
P0095,Vantage Furniture 40,Furniture,Vantage
P0096,Everly Furniture 41,Furniture,Everly
P0097,Summit Furniture 42,Furniture,Summit
P0098,Everly Furniture 43,Furniture,Everly
P0099,Apex Furniture 44,Furniture,Apex
P0100,Summit Furniture 45,Furniture,Summit
P0101,Northstar Office Supplies 01,Office Supplies,Northstar
